instance_index,tempo_original,tempo_relaxado,len_original,len_relaxado
0.0,6.9875876903533936,7.896488904953003,3.0,4.0
1.0,1.526493787765503,1.300955057144165,3.0,4.0
2.0,1.3742880821228027,1.3879632949829102,3.0,4.0
3.0,1.8854684829711914,1.7774646282196045,3.0,4.0
4.0,1.7662022113800049,2.270261287689209,3.0,4.0
5.0,1.279475450515747,1.3194613456726074,3.0,4.0
6.0,1.106391191482544,1.2488646507263184,3.0,4.0
7.0,1.1199209690093994,1.2736701965332031,3.0,4.0
8.0,1.469473123550415,1.0372405052185059,3.0,4.0
9.0,1.0600740909576416,1.1152007579803467,4.0,4.0
10.0,1.2542243003845215,2.130357503890991,3.0,4.0
11.0,1.398954153060913,1.6439356803894043,3.0,4.0
12.0,1.8704895973205566,1.3165092468261719,3.0,4.0
13.0,1.214447259902954,1.102137804031372,3.0,4.0
14.0,1.123236894607544,1.2074804306030273,2.0,4.0
15.0,1.0523860454559326,1.185072660446167,3.0,4.0
16.0,1.2859365940093994,1.185115098953247,3.0,4.0
17.0,1.3884904384613037,1.0910043716430664,3.0,4.0
18.0,1.1092393398284912,1.1074812412261963,3.0,4.0
19.0,1.156829595565796,2.269636631011963,3.0,4.0
20.0,1.1594038009643555,1.3525354862213135,3.0,4.0
21.0,1.178816318511963,1.21000075340271,3.0,4.0
22.0,1.3758749961853027,2.010302782058716,3.0,4.0
23.0,1.0929384231567383,0.9826326370239258,3.0,4.0
24.0,0.9426970481872559,1.1892759799957275,3.0,4.0
25.0,1.2771930694580078,1.1495361328125,3.0,4.0
26.0,1.1714861392974854,1.2292001247406006,3.0,4.0
27.0,1.1695079803466797,1.4436519145965576,3.0,4.0
28.0,1.3127782344818115,1.247917890548706,3.0,4.0
29.0,1.1855072975158691,1.142303705215454,3.0,4.0
30.0,1.1453280448913574,1.2132859230041504,3.0,4.0
31.0,1.3594906330108643,1.1675505638122559,3.0,4.0
32.0,1.2896389961242676,1.700643539428711,3.0,4.0
33.0,1.1593613624572754,1.786290168762207,3.0,4.0
34.0,1.6786816120147705,1.3475427627563477,3.0,4.0
35.0,1.6231951713562012,1.1934764385223389,3.0,4.0
36.0,1.539458990097046,1.4193716049194336,3.0,4.0
37.0,1.1522374153137207,1.2075724601745605,3.0,4.0
38.0,1.1466093063354492,3.0328032970428467,3.0,4.0
39.0,2.014397382736206,1.3641438484191895,4.0,4.0
40.0,1.1369624137878418,1.1051156520843506,4.0,4.0
41.0,1.151352882385254,1.1540205478668213,3.0,4.0
42.0,1.1225578784942627,0.9800841808319092,3.0,4.0
43.0,1.2064149379730225,0.8939821720123291,4.0,4.0
44.0,1.1334588527679443,1.1409268379211426,3.0,4.0
45.0,1.4178903102874756,1.854527473449707,3.0,4.0
46.0,1.2046608924865723,1.3156161308288574,3.0,4.0
47.0,1.1573870182037354,1.7303857803344727,3.0,4.0
48.0,1.6010429859161377,0.9662165641784668,3.0,4.0
49.0,1.0931568145751953,0.9915053844451904,3.0,4.0
