instance_index,tempo_original,tempo_relaxado,len_original,len_relaxado
0.0,8.327123641967773,6.807494878768921,43.0,64.0
1.0,8.374622821807861,5.684054136276245,43.0,64.0
2.0,6.342024087905884,5.294647932052612,44.0,64.0
3.0,7.206375360488892,5.387154579162598,44.0,64.0
4.0,7.8399977684021,5.199342966079712,46.0,64.0
5.0,6.558483839035034,5.153048276901245,44.0,64.0
6.0,7.293895721435547,5.688076972961426,44.0,64.0
7.0,7.661423444747925,6.18414306640625,40.0,64.0
8.0,6.531771183013916,5.062893629074097,40.0,64.0
9.0,6.720854043960571,4.882954835891724,47.0,64.0
10.0,7.632429599761963,5.78311562538147,40.0,64.0
11.0,7.311785459518433,5.09577488899231,50.0,64.0
12.0,7.146512508392334,5.306575059890747,43.0,64.0
13.0,6.690065622329712,4.585271835327148,44.0,64.0
14.0,6.980626583099365,4.701940536499023,46.0,64.0
15.0,6.844542026519775,4.490144491195679,42.0,64.0
16.0,6.543285846710205,4.994763374328613,46.0,64.0
17.0,6.568113565444946,4.784276962280273,44.0,64.0
18.0,6.54796838760376,4.8467934131622314,47.0,64.0
19.0,6.772887468338013,4.384584903717041,42.0,64.0
20.0,7.1329498291015625,5.1800336837768555,45.0,64.0
21.0,7.28781533241272,4.728749513626099,41.0,64.0
22.0,7.575481653213501,4.612403869628906,40.0,64.0
23.0,6.048449993133545,5.566131591796875,41.0,64.0
24.0,6.423257350921631,4.758740663528442,46.0,64.0
25.0,5.945007085800171,5.061156749725342,47.0,64.0
26.0,7.4445788860321045,5.59357762336731,48.0,64.0
27.0,6.742358446121216,5.467260122299194,50.0,64.0
28.0,6.473676681518555,4.452819108963013,47.0,64.0
29.0,6.7386860847473145,4.966004133224487,43.0,64.0
30.0,6.200578451156616,5.248167276382446,41.0,64.0
31.0,6.4831273555755615,4.6680426597595215,48.0,64.0
32.0,6.329509735107422,5.519906997680664,49.0,64.0
33.0,7.207514047622681,4.6188201904296875,44.0,64.0
34.0,6.2374348640441895,4.8836658000946045,45.0,64.0
35.0,7.555997133255005,4.763421535491943,41.0,64.0
36.0,7.268780708312988,4.554811477661133,41.0,64.0
37.0,6.803221702575684,4.748769044876099,43.0,64.0
38.0,6.156989097595215,5.1961750984191895,49.0,64.0
39.0,7.302129507064819,5.205530166625977,42.0,64.0
40.0,6.954471588134766,4.6126673221588135,39.0,64.0
41.0,6.879680156707764,4.971210241317749,44.0,64.0
42.0,8.103700160980225,5.117260217666626,40.0,64.0
43.0,7.163277864456177,5.036725044250488,42.0,64.0
44.0,6.928957462310791,5.376775503158569,43.0,64.0
45.0,6.160445928573608,5.229525804519653,49.0,64.0
46.0,6.603850841522217,5.149607181549072,37.0,64.0
47.0,5.794806718826294,4.836739540100098,47.0,64.0
48.0,6.668784141540527,4.776398420333862,49.0,64.0
49.0,6.847047805786133,5.373819828033447,44.0,64.0
