instance_index,tempo_original,tempo_relaxado,tempo_relaxado_global,len_original,len_relaxado,len_relaxado_global,delta
0.0,31.727016925811768,1.7553763389587402,2.161536931991577,47.0,31.0,40.0,0.1
1.0,43.35324311256409,1.031477928161621,1.349867820739746,48.0,64.0,64.0,0.1
2.0,63.421311140060425,1.8617794513702393,1.6405932903289795,42.0,11.0,29.0,0.1
3.0,71.48509049415588,1.6967170238494873,1.702761173248291,47.0,64.0,64.0,0.1
4.0,212.3806390762329,1.638413667678833,1.6994738578796387,43.0,64.0,64.0,0.1
5.0,62.35681486129761,2.0476014614105225,1.9642765522003174,47.0,64.0,64.0,0.1
6.0,122.60979223251343,2.4263839721679688,2.6185598373413086,44.0,34.0,41.0,0.1
7.0,86.65841460227966,2.1921863555908203,2.2444353103637695,46.0,12.0,33.0,0.1
8.0,122.44896697998047,2.1381399631500244,1.963773250579834,45.0,30.0,35.0,0.1
9.0,23.257312059402466,2.43711256980896,1.5936331748962402,49.0,64.0,64.0,0.1
10.0,126.9724907875061,2.352057695388794,2.2774577140808105,45.0,22.0,39.0,0.1
11.0,20.53861165046692,2.0276618003845215,2.1713004112243652,50.0,64.0,64.0,0.1
