instance_index,tempo_original,tempo_relaxado,tempo_relaxado_global,len_original,len_relaxado,len_relaxado_global,delta
0.0,5.573713541030884,0.6191635131835938,0.7644574642181396,46.0,0.0,25.0,0.001
1.0,6.3619384765625,0.7601170539855957,0.9466054439544678,43.0,0.0,30.0,0.001
2.0,4.985813617706299,0.548572301864624,1.1591503620147705,45.0,0.0,23.0,0.001
3.0,5.227466344833374,1.0685677528381348,1.398036241531372,45.0,0.0,30.0,0.001
4.0,4.138790607452393,0.5486631393432617,0.8454673290252686,45.0,0.0,25.0,0.001
5.0,4.45223593711853,0.5727701187133789,0.8036603927612305,43.0,0.0,30.0,0.001
6.0,5.616694927215576,0.6703369617462158,0.8803458213806152,41.0,0.0,25.0,0.001
7.0,4.660134792327881,0.5365936756134033,1.0753252506256104,40.0,0.0,25.0,0.001
8.0,9.968577146530151,0.7358205318450928,3.0383379459381104,44.0,0.0,32.0,0.001
9.0,2.8889853954315186,0.5899322032928467,1.1893970966339111,51.0,0.0,30.0,0.001
