instance_index,tempo_original,tempo_relaxado,tempo_relaxado_global,len_original,len_relaxado,len_relaxado_global,delta
0.0,9.87991213798523,2.385831117630005,2.043429136276245,46.0,64.0,64.0,0.1
1.0,8.081755638122559,1.8482258319854736,1.9549572467803955,43.0,64.0,64.0,0.1
2.0,7.100609302520752,1.740886926651001,2.3493082523345947,45.0,64.0,64.0,0.1
3.0,6.334632158279419,1.3095872402191162,1.448927879333496,45.0,64.0,64.0,0.1
4.0,4.670415639877319,1.0824573040008545,1.4161226749420166,45.0,64.0,64.0,0.1
5.0,5.108652114868164,1.3951160907745361,1.1675682067871094,43.0,64.0,64.0,0.1
6.0,6.092609882354736,1.1800401210784912,1.6024739742279053,41.0,64.0,64.0,0.1
7.0,5.440129041671753,1.6955585479736328,1.9477076530456543,40.0,29.0,43.0,0.1
8.0,17.41939902305603,1.8695034980773926,1.7557048797607422,44.0,64.0,64.0,0.1
9.0,3.7871711254119873,1.7194106578826904,1.5516562461853027,51.0,64.0,64.0,0.1
10.0,8.535080432891846,1.3610584735870361,1.8316457271575928,44.0,64.0,64.0,0.1
